('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         987903 function calls (956677 primitive calls) in 1.947 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
183711/183701    0.016    0.000    0.019    0.000 {built-in method builtins.isinstance}
    66144    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
51329/46470    0.005    0.000    0.006    0.000 {built-in method builtins.len}
39610/39587    0.005    0.000    0.006    0.000 {built-in method builtins.hasattr}
    25196    0.025    0.000    0.025    0.000 {method 'match' of 're.Pattern' objects}
    22034    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
    21727    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    19714    0.004    0.000    0.006    0.000 sre_parse.py:164(__getitem__)
18589/18588    0.003    0.000    0.011    0.000 {built-in method builtins.next}
    17021    0.005    0.000    0.005    0.000 sre_parse.py:233(__next)
    16802    0.002    0.000    0.002    0.000 element.py:2062(descendants)
    16414    0.008    0.000    0.051    0.000 element.py:2303(search)
    15122    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
    14747    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    14501    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    13662    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    12267    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    12267    0.002    0.000    0.004    0.000 abc.py:137(__instancecheck__)
12082/4273    0.014    0.000    0.027    0.000 element.py:2336(_matches)
    10935    0.002    0.000    0.005    0.000 sre_parse.py:254(get)
    10933    0.004    0.000    0.007    0.000 _markupbase.py:48(updatepos)
    10041    0.002    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
     9202    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8971    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     8328    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     8289    0.007    0.000    0.038    0.000 element.py:2240(search_tag)
     8229    0.007    0.000    0.007    0.000 {method 'search' of 're.Pattern' objects}
     8214    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
     8117    0.007    0.000    0.007    0.000 element.py:156(setup)
     8079    0.002    0.000    0.003    0.000 sre_parse.py:249(match)
     8052    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
7886/4386    0.001    0.000    0.002    0.000 {built-in method builtins.hash}
