('Total Revenue', '254,190,000.00 ', '245,122,000.00 ', '211,915,000.00 ', '198,270,000.00 ', '168,088,000.00 ')
         943793 function calls (918131 primitive calls) in 6.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      322    1.073    0.003    1.073    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.065    0.065    0.065    0.065 {method 'connect' of '_socket.socket' objects}
        1    0.065    0.065    0.065    0.065 {method 'do_handshake' of '_ssl._SSLSocket' objects}
       21    0.028    0.001    0.028    0.001 {built-in method _imp.create_dynamic}
    25147    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
      150    0.020    0.000    0.020    0.000 {method 'read' of '_io.FileIO' objects}
 3203/201    0.016    0.000    0.049    0.000 sre_parse.py:469(_parse)
     2740    0.015    0.000    0.094    0.000 parser.py:301(parse_starttag)
178996/178994    0.015    0.000    0.018    0.000 {built-in method builtins.isinstance}
12082/4273    0.013    0.000    0.026    0.000 element.py:2336(_matches)
        1    0.013    0.013    0.013    0.013 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        2    0.011    0.006    0.152    0.076 parser.py:134(goahead)
      150    0.010    0.000    0.010    0.000 {built-in method marshal.loads}
     2971    0.010    0.000    0.010    0.000 {built-in method __new__ of type object at 0x10d54bd50}
 3935/192    0.010    0.000    0.025    0.000 sre_compile.py:71(_compile)
    16414    0.008    0.000    0.049    0.000 element.py:2303(search)
       42    0.007    0.000    0.007    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     8289    0.007    0.000    0.036    0.000 element.py:2240(search_tag)
     2741    0.007    0.000    0.019    0.000 element.py:1199(__init__)
     8117    0.006    0.000    0.006    0.000 element.py:156(setup)
     8219    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
    21961    0.006    0.000    0.006    0.000 sre_parse.py:233(__next)
      883    0.006    0.000    0.009    0.000 sre_compile.py:276(_optimize_charset)
     2740    0.005    0.000    0.040    0.000 __init__.py:722(handle_starttag)
     2622    0.005    0.000    0.009    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
      509    0.005    0.000    0.061    0.000 {built-in method builtins.__build_class__}
    23037    0.005    0.000    0.007    0.000 sre_parse.py:164(__getitem__)
     2740    0.005    0.000    0.047    0.000 _htmlparser.py:105(handle_starttag)
     5718    0.005    0.000    0.021    0.000 __init__.py:586(endData)
        4    0.005    0.001    0.058    0.015 element.py:792(_find_all)
    71184    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
 3930/360    0.004    0.000    0.007    0.000 sre_parse.py:174(getwidth)
    38333    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
53981/49262    0.004    0.000    0.005    0.000 {built-in method builtins.len}
     2596    0.004    0.000    0.028    0.000 parser.py:386(parse_endtag)
     2741    0.004    0.000    0.004    0.000 __init__.py:572(pushTag)
    14363    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     2741    0.003    0.000    0.022    0.000 _htmlparser.py:160(handle_endtag)
     2739    0.003    0.000    0.007    0.000 __init__.py:688(_popToTag)
    10933    0.003    0.000    0.007    0.000 _markupbase.py:48(updatepos)
     1424    0.003    0.000    0.004    0.000 __init__.py:648(_linkage_fixer)
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
     8052    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
      150    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:914(get_data)
 1202/193    0.003    0.000    0.049    0.000 sre_parse.py:411(_parse_sub)
     2740    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
    14787    0.003    0.000    0.007    0.000 sre_parse.py:254(get)
     2688    0.003    0.000    0.009    0.000 __init__.py:620(object_was_parsed)
      846    0.003    0.000    0.003    0.000 {built-in method posix.stat}
        1    0.003    0.003    0.022    0.022 dammit.py:70(_populate_class_variables)
    21174    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.002    0.002    0.002    0.002 {built-in method _socket.gethostbyname}
    10198    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      455    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    11952    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
       43    0.002    0.000    0.009    0.000 response.py:119(decompress)
    16802    0.002    0.000    0.002    0.000 element.py:2062(descendants)
     1943    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
    10375    0.002    0.000    0.004    0.000 sre_parse.py:249(match)
     2170    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
    16748    0.002    0.000    0.009    0.000 {built-in method builtins.next}
        1    0.002    0.002    0.002    0.002 {built-in method _hashlib.openssl_md5}
        1    0.002    0.002    0.002    0.002 models.py:906(text)
    12280    0.002    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
    14968    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     2688    0.002    0.000    0.005    0.000 element.py:943(__new__)
      472    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
     2740    0.002    0.000    0.011    0.000 parser.py:352(check_for_whole_start_tag)
    10041    0.002    0.000    0.002    0.000 element.py:2203(_normalize_search_value)
     9423    0.002    0.000    0.002    0.000 sre_parse.py:160(__len__)
      721    0.002    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
    12280    0.001    0.000    0.003    0.000 abc.py:137(__instancecheck__)
     2739    0.001    0.000    0.018    0.000 __init__.py:763(handle_endtag)
    22034    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
      308    0.001    0.000    0.084    0.000 re.py:271(_compile)
        4    0.001    0.000    0.001    0.000 {built-in method _ssl.txt2obj}
    15122    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
     4612    0.001    0.000    0.001    0.000 sre_parse.py:111(__init__)
      322    0.001    0.000    1.077    0.003 socket.py:575(readinto)
      195    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     5701    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
7918/7850    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.001    0.001    0.001    0.001 models.py:659(__init__)
       93    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
     5827    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
       16    0.001    0.000    0.004    0.000 enum.py:135(__new__)
     2359    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2688    0.001    0.000    0.001    0.000 __init__.py:523(string_container)
    167/1    0.001    0.000    6.687    6.687 {built-in method builtins.exec}
     6111    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
        1    0.001    0.001    0.001    0.001 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        9    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     4085    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     2740    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)
     2359    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
        1    0.001    0.001    0.155    0.155 connection.py:609(connect)
      883    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
       64    0.001    0.000    0.170    0.003 {method 'read' of '_io.BufferedReader' objects}
      322    0.001    0.000    1.075    0.003 ssl.py:1060(recv_into)
    76/12    0.001    0.000    0.182    0.015 {method 'join' of 'bytes' objects}
     2589    0.001    0.000    0.002    0.000 _htmlparser.py:178(handle_data)
      125    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       16    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      267    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      150    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     3671    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
